Datetime,Open,High,Low,Close,Volume
2026-1-5 9:30,792.5,798,792.5,797,64279
2026-1-5 10:00,797,797.5,791.5,795,22234
2026-1-5 10:45,795,796,791,795,21316
2026-1-5 11:15,795,797.5,794,797.5,2280
2026-1-5 13:45,797.5,799,796,796.5,21645
2026-1-5 14:15,797,798.5,795.5,797.5,14578
2026-1-5 14:45,797.5,798.5,795,796,1568
2026-1-5 15:00,796,797,795.5,797,105
2026-1-5 21:30,795.5,796,792.5,794.5,39698
2026-1-5 22:00,794.5,796,793.5,795,9678
2026-1-5 22:30,795,795,793.5,794.5,5830
2026-1-5 23:00,795,795,793.5,795,4804
2026-1-6 9:30,794.5,795,790,790.5,29975
2026-1-6 10:00,790.5,793,787,790.5,37734
2026-1-6 10:45,790.5,792,789.5,791.5,14564
2026-1-6 11:15,791.5,794,790.5,793.5,13049
2026-1-6 13:45,794,795.5,791.5,795.5,11461
2026-1-6 14:15,795.5,798.5,794.5,798,31797
2026-1-6 14:45,798,805.5,797,802.5,70917
2026-1-6 15:00,803,804.5,800,801,274
2026-1-6 21:30,802.5,809.5,802,809,78986
2026-1-6 22:00,809,811,807.5,808.5,41863
2026-1-6 22:30,808,812.5,807,812.5,27151
2026-1-6 23:00,812.5,813,810.5,812.5,19606
2026-1-7 9:30,813.5,815.5,812.5,815,41648
2026-1-7 10:00,815.5,817,813.5,815,30624
2026-1-7 10:45,815,815.5,812,813,16251
2026-1-7 11:15,813,818,812.5,818,20747
2026-1-7 13:45,817.5,824.5,817.5,819,99281
2026-1-7 14:15,819,826,819,825,31406
2026-1-7 14:45,825,828.5,824.5,826,49347
2026-1-7 15:00,826,828,826,828,1423
2026-1-7 21:30,828.5,829.5,823,825,72785
2026-1-7 22:00,825.5,828.5,825,828.5,29575
2026-1-7 22:30,828,831.5,825,826,417
2026-1-7 23:00,826,827,823.5,824.5,25724
2026-1-8 9:30,823.5,826,820,821.5,37324
2026-1-8 10:00,821,824.5,820.5,824,23655
2026-1-8 10:45,824,824.5,819,820,1273
2026-1-8 11:15,818.5,819.5,814,815,4572
2026-1-8 13:45,815,816.5,809,810,4848
2026-1-8 14:15,810,813,808,809,4574
2026-1-8 14:45,809.5,814.5,809,812.5,35
2026-1-8 15:00,813,814,812,813,205
2026-1-8 21:30,814.5,818.5,813.5,816.5,70556
2026-1-8 22:00,816.5,819,814.5,814.5,23651
2026-1-8 22:30,814.5,816,813,813.5,24107
2026-1-8 23:00,813.5,814,810,812,31506
2026-1-9 9:30,813,816.5,811.5,815,25824
2026-1-9 10:00,815,815,813.5,813.5,10246
2026-1-9 10:45,813.5,818.5,813.5,817.5,23334
2026-1-9 11:15,817.5,818.5,815.5,815.5,1525
2026-1-9 13:45,815.5,818,814.5,816.5,341
2026-1-9 14:15,816.5,818.5,814.5,818.5,5489
2026-1-9 14:45,818,818,816.5,817,733
2026-1-9 15:00,817,817.5,814.5,814.5,7860
2026-1-9 21:30,818.5,821.5,817,817.5,51866
2026-1-9 22:00,817,822.5,817,819,12
2026-1-9 22:30,819,821,818,820.5,9
2026-1-9 23:00,820.5,822.5,819.5,820.5,261
2026-1-12 9:30,824,826,823,823.5,58420
2026-1-12 10:00,823.5,824,821,821,17100
2026-1-12 10:45,821.5,821.5,819,821,19766
2026-1-12 11:15,821,821.5,818,821.5,15614
2026-1-12 13:45,821.5,824,821.5,823.5,288
2026-1-12 14:15,823.5,824.5,822,824,1064
2026-1-12 14:45,823.5,826,821.5,821.5,362
2026-1-12 15:00,821.5,823,820.5,822.5,1099
2026-1-12 21:30,822.5,825.5,821.5,822,34464
2026-1-12 22:00,822,823,814.5,817,37
2026-1-12 22:30,817,817,814,815,12
2026-1-12 23:00,814.5,817,814.5,816,1284
2026-1-13 9:30,815.5,822.5,815.5,820.5,533
2026-1-13 10:00,820.5,822,819,821.5,17
2026-1-13 10:45,821.5,823,820.5,823,14
2026-1-13 11:15,823.5,827.5,822.5,826.5,2042
2026-1-13 13:45,826.5,827.5,822,824,446
2026-1-13 14:15,824,825,821.5,822.5,337
2026-1-13 14:45,823,825,819,819,64
2026-1-13 15:00,819,821,818,819.5,5554
2026-1-13 21:30,820,824.5,819,823.5,38981
2026-1-13 22:00,823.5,824,821,822.5,13491
2026-1-13 22:30,822.5,824.5,822,823,10516
2026-1-13 23:00,823,824.5,823,824,2864
2026-1-14 9:30,823,824,818,819.5,28851
2026-1-14 10:00,820,822,819,820.5,13075
2026-1-14 10:45,820.5,825,820,824.5,19912
2026-1-14 11:15,824.5,825.5,823.5,825.5,11764
2026-1-14 13:45,825.5,825.5,820,823,34
2026-1-14 14:15,823,824,820,823.5,292
2026-1-14 14:45,824,824,820,820.5,1683
2026-1-14 15:00,820.5,822,820,821,40
2026-1-14 21:30,820.5,821.5,814,817,54819
2026-1-14 22:00,817,818,816,817,8904
2026-1-14 22:30,817.5,820,817,820,10341
2026-1-14 23:00,819.5,820.5,818,819,10427
2026-1-15 9:30,818.5,819.5,816.5,817,16210
2026-1-15 10:00,817,819,816,819,13778
2026-1-15 10:45,819,820,816.5,818,274
2026-1-15 11:15,818,818.5,814.5,814.5,17142
2026-1-15 13:45,814.5,816,812,814,39202
2026-1-15 14:15,814.5,818,814,816,25415
2026-1-15 14:45,817.5,817.5,813,815.5,17337
2026-1-15 15:00,815.5,815.5,813,813,8233
2026-1-15 21:30,813.5,816,809.5,811.5,53445
2026-1-15 22:00,812,814.5,811.5,813.5,9845
2026-1-15 22:30,813.5,817.5,812,816.5,17345
2026-1-15 23:00,816,817,813,815,5979
2026-1-16 9:30,814,821.5,814,820.5,38416
2026-1-16 10:00,821,821.5,817.5,819.5,22976
2026-1-16 10:45,819.5,820,816.5,819,20303
2026-1-16 11:15,819.5,819.5,811.5,813,23825
2026-1-16 13:45,813,815,812,814.5,19641
2026-1-16 14:15,814.5,815,812.5,813,46
2026-1-16 14:45,813,814.5,812.5,813,267
2026-1-16 15:00,812,812.5,811.5,812,1201
2026-1-16 21:30,811,811,804.5,805.5,56991
2026-1-16 22:00,805.5,806,802.5,805,38400
2026-1-16 22:30,805.5,806.5,804.5,806,10807
2026-1-16 23:00,805.5,806.5,804,804,11466
2026-1-19 9:30,804,806,793.5,794,95127
2026-1-19 10:00,794,794.5,788.5,789.5,86406
2026-1-19 10:45,789.5,793,789,792,22291
2026-1-19 11:15,792,792.5,790.5,791.5,13347
2026-1-19 13:45,791.5,795,791,793.5,23866
2026-1-19 14:15,793.5,794,792.5,793,3648
2026-1-19 14:45,793,793.5,791.5,792.5,11803
2026-1-19 15:00,792.5,795,792,794,10807
2026-1-19 21:30,795.5,796.5,794,794.5,46350
2026-1-19 22:00,795,797,794,794.5,13098
2026-1-19 22:30,794.5,795.5,793.5,795,12458
2026-1-19 23:00,795,795,793.5,794.5,902
2026-1-20 9:30,787,794.5,778.5,784,149793
2026-1-20 10:00,784,788,783,785.5,29041
2026-1-20 10:45,785.5,787.5,784.5,785.5,23235
2026-1-20 11:15,785.5,786,784,785,10973
2026-1-20 13:45,785,788.5,784.5,787.5,19379
2026-1-20 14:15,787.5,790.5,787.5,789.5,22672
2026-1-20 14:45,789.5,790,786.5,786.5,5792
2026-1-20 15:00,786.5,789.5,786.5,789.5,4253
2026-1-20 21:30,789.5,790,785.5,786.5,43117
2026-1-20 22:00,786.5,788.5,786,788,10473
2026-1-20 22:30,788,790.5,788,789,20045
2026-1-20 23:00,789,791.5,788,788.5,6865
2026-1-21 9:30,786.5,788.5,784,786,29250
2026-1-21 10:00,786,786.5,784,785,12619
2026-1-21 10:45,785,785.5,782.5,784,4667
2026-1-21 11:15,784,785,782.5,783.5,989
2026-1-21 13:45,783.5,786,783,785.5,480
2026-1-21 14:15,786,787,784.5,787,3380
2026-1-21 14:45,787.5,788,784,784,1676
2026-1-21 15:00,784,784.5,783,784,32
2026-1-21 21:30,785,786,783.5,783.5,30588
2026-1-21 22:00,784,787,782.5,786,19694
2026-1-21 22:30,786.5,787,784.5,785.5,8694
2026-1-21 23:00,785.5,786,785,785.5,3999
2026-1-22 9:30,783.5,789,783,786,23885
2026-1-22 10:00,786,787,784,784.5,11730
2026-1-22 10:45,784.5,787,784,785.5,2
2026-1-22 11:15,785.5,786,784,784.5,1269
2026-1-22 13:45,784.5,788,783,788,2709
2026-1-22 14:15,787.5,790.5,786,786,218
2026-1-22 14:45,786.5,788.5,786,788.5,1451
2026-1-22 15:00,788.5,788.5,786.5,786.5,1512
2026-1-22 21:30,787,790,786,786,31936
2026-1-22 22:00,786,787.5,786,786.5,9422
2026-1-22 22:30,786.5,788.5,786,788.5,6729
2026-1-22 23:00,788.5,789,787,787.5,6201
2026-1-23 9:30,789.5,796,787.5,791,48646
2026-1-23 10:00,791,794,790.5,794,15265
2026-1-23 10:45,794,795,792.5,794,15218
2026-1-23 11:15,795,795,792.5,794,4199
2026-1-23 13:45,794,794.5,792.5,794,1420
2026-1-23 14:15,794,798,793.5,797.5,58
2026-1-23 14:45,797.5,797.5,793.5,794.5,826
2026-1-23 15:00,794.5,795,793,795,764
2026-1-23 21:30,794.5,801.5,793,795,10
2026-1-23 22:00,795,795.5,790.5,793.5,1
2026-1-23 22:30,793.5,795,792.5,793.5,1
2026-1-23 23:00,793.5,793.5,791.5,791.5,694
2026-1-26 9:30,794,796.5,793,795.5,27761
2026-1-26 10:00,795.5,795.5,790,790,19895
2026-1-26 10:45,789,792,788.5,791,33102
2026-1-26 11:15,791,791.5,787.5,790,552
2026-1-26 13:45,791,791.5,787.5,787.5,2
2026-1-26 14:15,787.5,789,787.5,788,1105
2026-1-26 14:45,788.5,789.5,787.5,788.5,705
2026-1-26 15:00,788.5,788.5,784.5,784.5,1469
2026-1-26 21:30,786,788.5,784.5,787.5,41748
2026-1-26 22:00,787.5,788,786,786,10301
2026-1-26 22:30,786.5,788,785.5,787.5,4686
2026-1-26 23:00,787.5,791,787,789,4312
2026-1-27 9:30,790,793.5,789,793,35417
2026-1-27 10:00,793,793.5,785.5,786,34967
2026-1-27 10:45,787,790,785.5,789.5,16049
2026-1-27 11:15,789.5,790,786,786.5,8874
2026-1-27 13:45,786.5,788,785.5,786,16253
2026-1-27 14:15,786.5,788.5,786,788,9029
2026-1-27 14:45,788,789.5,787,788,8175
2026-1-27 15:00,788,789,788,788,1303
2026-1-27 21:30,788,788.5,785.5,787,21740
2026-1-27 22:00,787,787.5,786,786.5,4728
2026-1-27 22:30,787,788,784.5,784.5,14323
2026-1-27 23:00,784.5,786.5,782,783,8095
2026-1-28 9:30,785.5,789.5,780.5,783,51652
2026-1-28 10:00,783,785.5,783,784,15465
2026-1-28 10:45,784.5,784.5,782,783,11399
2026-1-28 11:15,783,786,781,784.5,18040
2026-1-28 13:45,785,787.5,783.5,785.5,17810
2026-1-28 14:15,785.5,786,784.5,785,8628
2026-1-28 14:45,785,785,782.5,783.5,1807
2026-1-28 15:00,783.5,784,783,783,1447
2026-1-28 21:30,784.5,784.5,781,784,35967
2026-1-28 22:00,783.5,785,783,785,13286
2026-1-28 22:30,785,787.5,784.5,786,15083
2026-1-28 23:00,786,787,785.5,786,1774
2026-1-29 9:30,785.5,792,785,791.5,56750
2026-1-29 10:00,791.5,793,790.5,792,20095
2026-1-29 10:45,792,793,788,789,15590
2026-1-29 11:15,788.5,795.5,788,794.5,23399
2026-1-29 13:45,794.5,797.5,792.5,795,46387
2026-1-29 14:15,795,798,794,795,26731
2026-1-29 14:45,796,797,794,797,9672
2026-1-29 15:00,796.5,800,796.5,798.5,719
2026-1-29 21:30,798,800.5,795,795,60156
2026-1-29 22:00,795.5,796.5,794.5,795,13955
2026-1-29 22:30,795,797.5,794.5,797,13404
2026-1-29 23:00,797,797.5,793.5,793.5,11627
2026-1-30 9:30,792,794,786.5,788.5,54685
2026-1-30 10:00,788.5,790,787.5,789.5,14682
2026-1-30 10:45,789.5,793,787,791,28560
2026-1-30 11:15,791,794,789.5,790.5,22963
2026-1-30 13:45,790.5,792.5,788,792,2486
2026-1-30 14:15,791.5,795,789.5,795,14394
2026-1-30 14:45,795,795.5,792,793,13602
2026-1-30 15:00,792.5,793,791,791.5,6661
2026-1-30 21:30,787,792.5,786.5,792,12
2026-1-30 22:00,792,793.5,789.5,790.5,126
2026-1-30 22:30,790.5,791.5,789,790.5,99
2026-1-30 23:00,790.5,791,789,790,557
2026-2-2 9:30,786.5,787.5,783.5,785.5,807
2026-2-2 10:00,785.5,790,784.5,789.5,119
2026-2-2 10:45,790,793,789,790,476
2026-2-2 11:15,790,790,785,788,598
2026-2-2 13:45,787.5,789,786,786,13
2026-2-2 14:15,786,787.5,783.5,784.5,3364
2026-2-2 14:45,782,785.5,781,784,1439
2026-2-2 15:00,784,785,781.5,783,10932
2026-2-2 21:30,788,797,787.5,792,99295
2026-2-2 22:00,792,792.5,788.5,790.5,16067
2026-2-2 22:30,790.5,792.5,789.5,790.5,9528
2026-2-2 23:00,790.5,790.5,788.5,789,4375
2026-2-3 9:30,790,790,787.5,789.5,20033
2026-2-3 10:00,789.5,791,788,789.5,9725
2026-2-3 10:45,788,789.5,776,776,11612
2026-2-3 11:15,776,777.5,774.5,775.5,56405
2026-2-3 13:45,776,779,775,776.5,24506
2026-2-3 14:15,776.5,778,776,776.5,734
2026-2-3 14:45,777,777.5,775,776,5377
2026-2-3 15:00,776,777.5,776,777.5,2718
2026-2-3 21:30,782,786,780.5,783.5,5
2026-2-3 22:00,783,783.5,781,782.5,1
2026-2-3 22:30,782.5,783,781,782,2
2026-2-3 23:00,782,783,781,781.5,51
